ID,Name,Likes,Meal Type,Cuisines,N_ingredients,WW Smart Points,Calories (Amount),Calories (Unit),Calories (% of Daily Needs),Saturated Fat (Amount),Saturated Fat (Unit),Saturated Fat (% of Daily Needs),Sugar (Amount),Sugar (Unit),Sugar (% of Daily Needs),Sodium (Amount),Sodium (Unit),Sodium (% of Daily Needs),Protein (Amount),Protein (Unit),Protein (% of Daily Needs),Carbohydrates
649264,Larb Salad,2,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],17,8,240.89,kcal,12.04,4.6,g,28.73,15.15,g,16.83,2359.22,mg,102.57,12.9,g,25.81,19g
632452,Apple & Cream Cheese Braid,7,"['lunch', 'main course', 'main dish', 'dinner']",[],21,218,6003.95,kcal,300.2,131.47,g,821.67,337.88,g,375.42,6457.75,mg,280.77,1.38,g,7.64,848g
638775,Chive and dill muffins,18,"['morning meal', 'brunch', 'breakfast']",[],11,6,179.51,kcal,8.98,3.46,g,21.64,3.26,g,3.62,452.45,mg,19.67,5.47,g,10.94,24g
651729,Grilled Lemon Garlic Artichokes,9,['side dish'],[],10,5,207.45,kcal,10.37,2.53,g,15.8,1.55,g,1.72,271.12,mg,11.79,3.07,g,6.13,11g
715455,Homemade Pecan Pie,7730,['dessert'],['Southern'],6,21,445.24,kcal,22.26,6.58,g,41.14,55.5,g,61.67,181.76,mg,7.9,4.9,g,9.8,66g
644965,"Goat Cheese, Fig And Proscuitto Crostini",2,"['fingerfood', 'antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Mediterranean', 'Italian', 'European']",5,18,713.4,kcal,35.67,4.65,g,29.08,33.88,g,37.64,1353.75,mg,58.86,10.28,g,20.55,110g
659285,Satay Beef Balls,5,"['lunch', 'main course', 'main dish', 'dinner']",[],8,7,248.79,kcal,12.44,5.99,g,37.45,1.59,g,1.76,459.42,mg,19.97,15.01,g,30.01,7g
658318,Ricotta and Mascarpone Cheese Tart,3,['dessert'],[],13,148,3721.45,kcal,186.07,171.93,g,1074.55,71.02,g,78.91,4098.65,mg,178.2,98.42,g,196.84,140g
650965,Mardi Gras Cupcakes,6,['dessert'],['American'],15,26,510.51,kcal,25.53,17.26,g,107.86,53.14,g,59.04,403.16,mg,17.53,0.22,g,1.21,62g
659135,Salmon with roasted vegetables,7,"['lunch', 'main course', 'main dish', 'dinner']",[],10,10,495.53,kcal,24.78,2.78,g,17.38,10.3,g,11.44,121.03,mg,5.26,38.53,g,77.06,44g
634171,Banana Pudding Cake,3,['dessert'],[],16,20,520.03,kcal,26.0,10.02,g,62.6,42.22,g,46.91,286.8,mg,12.47,0.49,g,2.71,70g
631759,Simit (Turkish Circular Bread),2,['bread'],[],7,13,429.38,kcal,21.47,3.32,g,20.75,3.93,g,4.36,296.24,mg,12.88,8.7,g,17.4,46g
638549,Chili and Garlic Spiced Beef and Broccoli Stir Fry,2,"['lunch', 'main course', 'main dish', 'dinner']",['American'],12,11,394.06,kcal,19.7,8.58,g,53.63,7.22,g,8.02,840.34,mg,36.54,0.85,g,4.72,38g
639580,Classic Carrot Cake With Cream Cheese Frosting,111,['dessert'],[],16,37,900.7,kcal,45.03,29.23,g,182.67,36.63,g,40.7,870.53,mg,37.85,0.56,g,3.11,67g
647210,Honey Dijon Roasted Brussels Sprout,13,['side dish'],[],5,4,115.01,kcal,5.75,1.0,g,6.27,9.64,g,10.71,246.6,mg,10.72,1.68,g,3.36,12g
649518,Lemon Blondies with Lemon Glaze,4,['side dish'],[],8,10,196.81,kcal,9.84,0.47,g,2.91,34.88,g,38.75,17.09,mg,0.74,2.29,g,4.58,45g
661758,Strawberry Banana Stuffed Pancakes,19,"['morning meal', 'brunch', 'breakfast']",[],9,3,170.94,kcal,8.55,0.17,g,1.08,12.01,g,13.35,530.69,mg,23.07,0.34,g,1.91,32g
642595,Farmer's Market Wild Mushroom Risotto,5,"['side dish', 'antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Mediterranean', 'Italian', 'European']",17,18,808.14,kcal,40.41,7.38,g,46.1,3.34,g,3.72,1463.0,mg,63.61,3.09,g,17.17,113g
640663,Creamy Mushroom Soup ~ with a “Kick”,2,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],13,15,440.51,kcal,22.03,11.4,g,71.28,10.46,g,11.63,341.77,mg,14.86,19.84,g,39.67,19g
633340,Bacon Wrapped Green Bean Bundles,28,['side dish'],[],7,24,696.33,kcal,34.82,19.83,g,123.95,57.08,g,63.42,700.24,mg,30.45,11.98,g,23.95,63g
633144,Avocado Nests,58,['side dish'],[],6,13,404.59,kcal,20.23,6.52,g,40.76,0.97,g,1.07,425.97,mg,18.52,10.13,g,20.27,27g
660109,Simple lentil soup,2,"['antipasti', 'soup', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],9,7,261.7,kcal,13.09,2.01,g,12.57,3.3,g,3.66,215.61,mg,9.37,9.09,g,18.17,24g
647046,Homemade Oatmeal Cream Pies,53,['dessert'],[],15,24,627.37,kcal,31.37,11.21,g,70.09,67.73,g,75.26,227.51,mg,9.89,0.28,g,1.53,88g
648275,Italian Tomato and Mozzarella Caprese,2,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']","['Mediterranean', 'Italian', 'European']",9,5,269.5,kcal,13.47,1.91,g,11.96,5.35,g,5.95,833.66,mg,36.25,28.19,g,56.38,9g
652393,Moosewood Lentil Soup,2,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],15,9,403.93,kcal,20.2,0.42,g,2.63,8.8,g,9.78,232.2,mg,10.1,25.65,g,51.3,68g
641659,Drunken Apple Cake,7,['dessert'],[],15,46,1071.39,kcal,53.57,27.7,g,173.12,77.56,g,86.18,959.91,mg,41.74,5.4,g,30.0,118g
665610,Yummy Nutella Ice Cream,2,['dessert'],[],8,72,1416.61,kcal,70.83,76.5,g,478.15,87.13,g,96.81,292.06,mg,12.7,3.06,g,17.01,95g
